# 2WD PID 循线 · S 弯赛道 · Kp=0.6 Ki=0 Kd=6 · 100 Hz
t,nL,nM,nR,error,u,pwmL,pwmR,state
0.800,0.0440,0.9880,0.0240,-1.89,-3.41,115,150,STRAIGHT
0.810,0.0400,0.9760,0.0080,-3.13,-9.26,106,150,STRAIGHT
0.820,0.0480,0.9920,0.0200,-2.64,1.32,122,142,STRAIGHT
0.830,0.0360,0.9960,0.0160,-1.91,3.25,125,138,STRAIGHT
0.840,0.0240,0.9880,0.0320,0.77,16.51,145,114,STRAIGHT
0.850,0.0360,0.9800,0.0080,-2.73,-22.64,86,150,STRAIGHT
0.860,0.0520,0.9680,0.0240,-2.68,-1.29,118,146,STRAIGHT
0.870,0.0400,0.9720,0.0360,-0.38,13.57,140,120,STRAIGHT
0.880,0.0280,0.9680,0.0200,-0.79,-2.91,116,149,STRAIGHT
0.890,0.0600,0.9920,0.0200,-3.73,-19.90,90,150,STRAIGHT
0.900,0.0480,0.9600,0.0200,-2.72,4.41,127,136,STRAIGHT
0.910,0.0480,0.9720,0.0120,-3.49,-6.68,110,150,STRAIGHT
0.920,0.0440,0.9680,0.0240,-1.93,8.19,132,129,STRAIGHT
0.930,0.0560,0.9680,0.0120,-4.25,-16.45,95,150,STRAIGHT
0.940,0.0640,0.9640,0.0000,-6.23,-15.61,97,150,STRAIGHT
0.950,0.0480,0.9720,0.0240,-2.30,22.18,150,104,STRAIGHT
0.960,0.0640,0.9560,0.0360,-2.65,-3.71,114,150,STRAIGHT
0.970,0.0680,0.9280,0.0200,-4.72,-15.27,97,150,STRAIGHT
0.980,0.0600,0.9080,0.0120,-4.90,-3.98,114,150,STRAIGHT
0.990,0.0760,0.9080,0.0200,-5.58,-7.42,109,150,STRAIGHT
1.000,0.1000,0.9280,0.0000,-9.73,-30.74,74,150,STRAIGHT
1.010,0.0960,0.8960,0.0200,-7.51,8.80,133,128,STRAIGHT
1.020,0.0880,0.8800,0.0040,-8.64,-11.98,102,150,STRAIGHT
1.030,0.0920,0.9000,0.0160,-7.54,2.09,123,140,STRAIGHT
1.040,0.0960,0.8400,0.0040,-9.79,-19.36,91,150,STRAIGHT
1.050,0.1040,0.8680,0.0040,-10.25,-8.90,107,150,TURN_LEFT
1.060,0.1240,0.8520,0.0040,-12.24,-19.34,91,150,TURN_LEFT
1.070,0.1360,0.8280,0.0240,-11.34,-1.35,118,146,TURN_LEFT
1.080,0.1720,0.7920,0.0160,-15.92,-37.05,64,150,TURN_LEFT
1.090,0.1600,0.7720,0.0080,-16.17,-11.21,103,150,TURN_LEFT
1.100,0.2000,0.7680,0.0000,-20.66,-39.34,61,150,TURN_LEFT
1.110,0.2120,0.7360,0.0000,-22.36,-23.63,85,150,TURN_LEFT
1.120,0.2320,0.7200,0.0000,-24.37,-26.66,80,150,TURN_LEFT
1.130,0.2640,0.6840,0.0080,-26.78,-30.52,74,150,TURN_LEFT
1.140,0.2920,0.6520,0.0000,-30.93,-43.48,55,150,TURN_LEFT
1.150,0.2960,0.6440,0.0000,-31.49,-22.24,87,150,TURN_LEFT
1.160,0.3640,0.6160,0.0000,-37.14,-56.21,36,150,TURN_LEFT
1.170,0.4080,0.5920,0.0000,-40.80,-46.42,50,150,TURN_LEFT
1.180,0.4720,0.5760,0.0000,-45.04,-52.45,41,150,TURN_LEFT
1.190,0.5200,0.5360,0.0080,-48.12,-47.36,49,150,TURN_LEFT
1.200,0.5520,0.5120,0.0000,-51.88,-53.68,39,150,TURN_LEFT
1.210,0.6160,0.4800,0.0000,-56.20,-59.67,30,150,TURN_LEFT
1.220,0.6800,0.4680,0.0000,-59.23,-53.71,39,150,TURN_LEFT
1.230,0.7560,0.4760,0.0000,-61.36,-49.60,46,150,TURN_LEFT
1.240,0.8120,0.4400,0.0000,-64.86,-59.87,30,150,TURN_LEFT
1.250,0.8480,0.4200,0.0160,-64.80,-38.53,62,150,TURN_LEFT
1.260,0.9040,0.4280,0.0120,-66.37,-49.25,46,150,TURN_LEFT
1.270,0.9400,0.3720,0.0000,-71.65,-74.65,8,150,TURN_LEFT
1.280,0.9760,0.3520,0.0000,-73.49,-55.18,37,150,TURN_LEFT
1.290,0.9800,0.2960,0.0000,-76.80,-65.93,21,150,TURN_LEFT
1.300,1.0000,0.2880,0.0000,-77.64,-51.61,43,150,TURN_LEFT
1.310,1.0000,0.2720,0.0200,-75.85,-34.78,68,150,TURN_LEFT
1.320,0.9680,0.2480,0.0000,-79.61,-70.29,15,150,TURN_LEFT
1.330,0.9760,0.2200,0.0120,-79.80,-49.06,46,150,TURN_LEFT
1.340,0.9440,0.1680,0.0000,-84.89,-81.48,-2,150,TURN_LEFT
1.350,0.9240,0.1800,0.0000,-83.70,-43.04,55,150,TURN_LEFT
1.360,0.8640,0.1640,0.0000,-84.05,-52.53,41,150,TURN_LEFT
1.370,0.8280,0.1160,0.0160,-84.58,-53.97,39,150,TURN_LEFT
1.380,0.7760,0.0840,0.0160,-86.76,-65.10,22,150,TURN_LEFT
1.390,0.7080,0.0840,0.0040,-88.44,-63.17,25,150,TURN_LEFT
1.400,0.6760,0.0720,0.0040,-89.36,-59.13,31,150,TURN_LEFT
1.410,0.6320,0.0720,0.0000,-89.77,-56.33,36,150,TURN_LEFT
1.420,0.5920,0.0520,0.0000,-91.93,-68.07,18,150,TURN_LEFT
1.430,0.5640,0.0280,0.0040,-93.96,-68.58,17,150,TURN_LEFT
1.440,0.5280,0.0400,0.0080,-90.28,-32.07,72,150,TURN_LEFT
1.450,0.4480,0.0320,0.0000,-93.33,-74.33,8,150,TURN_LEFT
1.460,0.4360,0.0520,0.0000,-89.34,-29.67,75,150,TURN_LEFT
1.470,0.4120,0.0120,0.0040,-95.33,-93.09,-20,150,TURN_LEFT
1.480,0.3640,0.0120,0.0000,-96.81,-66.97,20,150,TURN_LEFT
1.490,0.3520,0.0400,0.0000,-89.80,-11.80,102,150,TURN_LEFT
1.500,0.3000,0.0120,0.0000,-96.15,-95.84,-24,150,TURN_LEFT
1.510,0.2800,0.0400,0.0000,-87.50,-0.58,119,145,TURN_LEFT
1.520,0.2480,0.0120,0.0000,-95.38,-104.54,-37,150,TURN_LEFT
1.530,0.2160,0.0000,0.0040,-96.36,-63.69,24,150,TURN_LEFT
1.540,0.2120,0.0000,0.0040,-96.30,-57.37,34,150,TURN_LEFT
1.550,0.1960,0.0000,0.0000,-100.00,-82.22,-3,150,TURN_LEFT
1.560,0.1760,0.0160,0.0000,-91.67,-5.00,113,150,TURN_LEFT
1.570,0.1680,0.0000,0.0000,-100.00,-110.00,-45,150,TURN_LEFT
1.580,0.1320,0.0000,0.0120,-80.00,72.00,150,-40,SEARCHING
1.590,0.1120,0.0040,0.0040,-80.00,-48.00,3,150,SEARCHING
1.600,0.1240,0.0080,0.0000,-80.00,-48.00,3,150,SEARCHING
1.610,0.1040,0.0160,0.0000,-80.00,-48.00,3,150,SEARCHING
1.620,0.0720,0.0000,0.0040,-80.00,-48.00,3,150,SEARCHING
1.630,0.0920,0.0120,0.0080,-80.00,-48.00,3,150,SEARCHING
1.640,0.0840,0.0000,0.0160,-80.00,-48.00,3,150,SEARCHING
1.650,0.0600,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
1.660,0.0680,0.0040,0.0000,-80.00,-48.00,3,150,SEARCHING
1.670,0.0680,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
1.680,0.0720,0.0120,0.0000,-80.00,-48.00,3,150,SEARCHING
1.690,0.0920,0.0200,0.0000,-80.00,-48.00,3,150,SEARCHING
1.700,0.0800,0.0080,0.0080,-80.00,-48.00,3,150,SEARCHING
1.710,0.0640,0.0120,0.0000,-80.00,-48.00,3,150,SEARCHING
1.720,0.0640,0.0040,0.0000,-80.00,-48.00,3,150,SEARCHING
1.730,0.1000,0.0040,0.0040,-80.00,-48.00,3,150,SEARCHING
1.740,0.0960,0.0000,0.0080,-80.00,-48.00,3,150,SEARCHING
1.750,0.1080,0.0000,0.0120,-80.00,-48.00,3,150,SEARCHING
1.760,0.1080,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
1.770,0.1280,0.0080,0.0000,-80.00,-48.00,3,150,SEARCHING
1.780,0.1640,0.0000,0.0040,-95.24,-148.57,-103,150,TURN_LEFT
1.790,0.1640,0.0000,0.0000,-100.00,-88.57,-13,150,TURN_LEFT
1.800,0.1960,0.0200,0.0000,-90.74,1.11,122,142,TURN_LEFT
1.810,0.2160,0.0000,0.0120,-89.47,-46.08,51,150,TURN_LEFT
1.820,0.2560,0.0000,0.0000,-100.00,-123.16,-65,150,TURN_LEFT
1.830,0.2560,0.0000,0.0000,-100.00,-60.00,30,150,TURN_LEFT
1.840,0.3040,0.0000,0.0000,-100.00,-60.00,30,150,TURN_LEFT
1.850,0.3400,0.0080,0.0000,-97.70,-44.83,53,150,TURN_LEFT
1.860,0.4120,0.0000,0.0120,-94.34,-36.43,65,150,TURN_LEFT
1.870,0.4600,0.0000,0.0160,-93.28,-49.59,46,150,TURN_LEFT
1.880,0.4920,0.0000,0.0120,-95.24,-68.91,17,150,TURN_LEFT
1.890,0.5680,0.0000,0.0000,-100.00,-88.57,-13,150,TURN_LEFT
1.900,0.6200,0.0000,0.0000,-100.00,-60.00,30,150,TURN_LEFT
1.910,0.7000,0.0000,0.0040,-98.86,-52.50,41,150,TURN_LEFT
1.920,0.7240,0.0000,0.0200,-94.62,-31.33,73,150,TURN_LEFT
1.930,0.8040,0.0080,0.0000,-99.01,-85.76,-9,150,TURN_LEFT
1.940,0.8280,0.0120,0.0080,-96.70,-44.12,54,150,TURN_LEFT
1.950,0.9000,0.0040,0.0000,-99.56,-76.89,5,150,TURN_LEFT
1.960,0.9320,0.0000,0.0000,-100.00,-62.65,26,150,TURN_LEFT
1.970,0.9600,0.0240,0.0000,-97.56,-43.90,54,150,TURN_LEFT
1.980,0.9920,0.0120,0.0000,-98.80,-66.75,20,150,TURN_LEFT
1.990,1.0000,0.0280,0.0000,-97.28,-49.19,46,150,TURN_LEFT
2.000,0.9680,0.0520,0.0000,-94.90,-42.70,56,150,TURN_LEFT
2.010,0.9520,0.0680,0.0080,-91.83,-36.66,65,150,TURN_LEFT
2.020,0.9160,0.0720,0.0040,-91.94,-55.80,36,150,TURN_LEFT
2.030,0.8560,0.1400,0.0120,-83.73,-1.01,118,146,TURN_LEFT
2.040,0.7840,0.1560,0.0000,-83.40,-48.09,48,150,TURN_LEFT
2.050,0.6840,0.1760,0.0000,-79.53,-24.50,83,150,TURN_LEFT
2.060,0.6480,0.2200,0.0000,-74.65,-15.51,97,150,TURN_LEFT
2.070,0.5800,0.2760,0.0000,-67.76,0.73,121,143,TURN_LEFT
2.080,0.4600,0.3160,0.0040,-58.46,20.70,150,107,TURN_LEFT
2.090,0.4200,0.4200,0.0040,-49.29,25.46,150,98,TURN_LEFT
2.100,0.3440,0.4760,0.0000,-41.95,18.86,148,110,TURN_LEFT
2.110,0.2800,0.5400,0.0080,-32.85,34.90,150,81,TURN_LEFT
2.120,0.2400,0.6040,0.0000,-28.44,9.42,134,127,TURN_LEFT
2.130,0.2120,0.6800,0.0000,-23.77,13.76,141,119,TURN_LEFT
2.140,0.1800,0.7480,0.0000,-19.40,14.58,142,118,TURN_LEFT
2.150,0.1560,0.7520,0.0000,-17.18,2.99,124,139,TURN_LEFT
2.160,0.1280,0.8280,0.0040,-12.92,17.83,147,112,TURN_LEFT
2.170,0.0960,0.8800,0.0120,-8.50,21.39,150,106,STRAIGHT
2.180,0.0840,0.9040,0.0000,-8.50,-5.10,112,150,STRAIGHT
2.190,0.0920,0.9560,0.0000,-8.78,-6.93,110,150,STRAIGHT
2.200,0.0720,0.9720,0.0080,-6.08,12.52,139,121,STRAIGHT
2.210,0.0440,1.0000,0.0240,-1.87,24.14,150,101,STRAIGHT
2.220,0.0280,0.9880,0.0200,-0.77,6.14,129,133,STRAIGHT
2.230,0.0480,1.0000,0.0320,-1.48,-5.14,112,150,STRAIGHT
2.240,0.0320,0.9840,0.0680,3.32,30.81,150,89,STRAIGHT
2.250,0.0160,0.9760,0.0720,5.26,14.81,142,117,STRAIGHT
2.260,0.0000,0.9560,0.0880,8.43,24.05,150,101,STRAIGHT
2.270,0.0200,0.9200,0.0960,7.34,-2.16,117,148,STRAIGHT
2.280,0.0080,0.8960,0.1040,9.52,18.84,148,110,STRAIGHT
2.290,0.0160,0.8440,0.1360,12.05,22.38,150,104,TURN_RIGHT
2.300,0.0080,0.7840,0.1520,15.25,28.39,150,93,TURN_RIGHT
2.310,0.0000,0.7640,0.1960,20.42,43.22,150,66,TURN_RIGHT
2.320,0.0040,0.7160,0.2200,22.98,29.16,150,92,TURN_RIGHT
2.330,0.0080,0.6680,0.2400,25.33,29.29,150,91,TURN_RIGHT
2.340,0.0240,0.6400,0.2680,26.18,20.82,150,107,TURN_RIGHT
2.350,0.0080,0.6160,0.3040,31.90,53.44,150,48,TURN_RIGHT
2.360,0.0000,0.5680,0.3360,37.17,53.93,150,47,TURN_RIGHT
2.370,0.0000,0.5560,0.3480,38.50,31.06,150,88,TURN_RIGHT
2.380,0.0000,0.5200,0.3680,41.44,42.54,150,67,TURN_RIGHT
2.390,0.0000,0.5040,0.3760,42.73,33.35,150,84,TURN_RIGHT
2.400,0.0000,0.5080,0.3880,43.30,29.44,150,91,TURN_RIGHT
2.410,0.0000,0.4840,0.4080,45.74,42.06,150,68,TURN_RIGHT
2.420,0.0080,0.4560,0.4200,46.61,33.16,150,84,TURN_RIGHT
2.430,0.0000,0.4640,0.4240,47.75,35.50,150,80,TURN_RIGHT
2.440,0.0000,0.4600,0.4000,46.51,20.49,150,107,TURN_RIGHT
2.450,0.0080,0.4760,0.4320,46.29,26.43,150,96,TURN_RIGHT
2.460,0.0000,0.4520,0.4280,48.64,43.27,150,66,TURN_RIGHT
2.470,0.0080,0.4600,0.4120,45.91,11.18,137,124,TURN_RIGHT
2.480,0.0200,0.4440,0.4200,45.25,23.19,150,102,TURN_RIGHT
2.490,0.0000,0.4440,0.4160,48.37,47.76,150,58,TURN_RIGHT
2.500,0.0120,0.4320,0.4160,46.98,19.81,150,108,TURN_RIGHT
2.510,0.0040,0.4480,0.4240,47.95,34.58,150,82,TURN_RIGHT
2.520,0.0000,0.4120,0.4240,50.72,47.07,150,59,TURN_RIGHT
2.530,0.0000,0.4360,0.4200,49.07,19.53,149,109,TURN_RIGHT
2.540,0.0040,0.4400,0.4120,47.66,20.19,150,108,TURN_RIGHT
2.550,0.0080,0.4440,0.3920,45.50,14.30,141,118,TURN_RIGHT
2.560,0.0000,0.4600,0.4000,46.51,33.99,150,83,TURN_RIGHT
2.570,0.0000,0.4360,0.4200,49.07,44.76,150,63,TURN_RIGHT
2.580,0.0000,0.4520,0.4080,47.44,18.72,148,110,TURN_RIGHT
2.590,0.0000,0.4520,0.3960,46.70,23.56,150,102,TURN_RIGHT
2.600,0.0040,0.4480,0.4120,47.22,31.48,150,87,TURN_RIGHT
2.610,0.0000,0.4600,0.3920,46.01,20.33,150,107,TURN_RIGHT
2.620,0.0120,0.4600,0.3880,43.72,12.50,139,121,TURN_RIGHT
2.630,0.0000,0.4720,0.4160,46.85,46.86,150,60,TURN_RIGHT
2.640,0.0000,0.4880,0.4040,45.29,17.84,147,112,TURN_RIGHT
2.650,0.0000,0.4720,0.3760,44.34,20.89,150,106,TURN_RIGHT
2.660,0.0000,0.4680,0.3640,43.75,22.71,150,103,TURN_RIGHT
2.670,0.0080,0.4720,0.3680,42.45,17.69,147,112,TURN_RIGHT
2.680,0.0200,0.4600,0.3800,41.86,21.56,150,105,TURN_RIGHT
2.690,0.0040,0.4640,0.4040,45.87,51.59,150,51,TURN_RIGHT
2.700,0.0080,0.4720,0.3760,42.99,8.51,133,129,TURN_RIGHT
2.710,0.0000,0.4680,0.3840,45.07,39.52,150,73,TURN_RIGHT
2.720,0.0000,0.4600,0.4160,47.49,43.00,150,67,TURN_RIGHT
2.730,0.0040,0.4560,0.3920,45.54,15.63,143,116,TURN_RIGHT
2.740,0.0040,0.4560,0.4000,46.05,30.67,150,89,TURN_RIGHT
2.750,0.0000,0.4760,0.3960,45.41,23.45,150,102,TURN_RIGHT
2.760,0.0000,0.4680,0.3760,44.55,21.55,150,105,TURN_RIGHT
2.770,0.0000,0.4720,0.4000,45.87,35.45,150,80,TURN_RIGHT
2.780,0.0000,0.4640,0.4000,46.30,30.33,150,89,TURN_RIGHT
2.790,0.0000,0.4640,0.4000,46.30,27.78,150,94,TURN_RIGHT
2.800,0.0160,0.4440,0.4120,45.41,21.95,150,104,TURN_RIGHT
2.810,0.0200,0.4640,0.4040,43.24,12.93,139,121,TURN_RIGHT
2.820,0.0000,0.4680,0.4040,46.33,46.32,150,61,TURN_RIGHT
2.830,0.0000,0.4520,0.4120,47.69,36.74,150,78,TURN_RIGHT
2.840,0.0080,0.4480,0.4440,48.44,33.62,150,83,TURN_RIGHT
2.850,0.0000,0.4400,0.4160,48.60,30.08,150,90,TURN_RIGHT
2.860,0.0080,0.4520,0.4200,46.82,17.41,146,113,TURN_RIGHT
2.870,0.0080,0.4280,0.4200,48.13,36.75,150,78,TURN_RIGHT
2.880,0.0120,0.4360,0.4320,47.73,26.21,150,97,TURN_RIGHT
2.890,0.0000,0.4400,0.4200,48.84,35.96,150,79,TURN_RIGHT
2.900,0.0000,0.4560,0.4200,47.95,23.42,150,102,TURN_RIGHT
2.910,0.0000,0.4440,0.4280,49.08,36.27,150,79,TURN_RIGHT
2.920,0.0000,0.4440,0.4240,48.85,27.90,150,94,TURN_RIGHT
2.930,0.0000,0.4480,0.4200,48.39,26.27,150,97,TURN_RIGHT
2.940,0.0040,0.4440,0.4280,48.40,29.13,150,92,TURN_RIGHT
2.950,0.0000,0.4520,0.4440,49.55,36.64,150,78,TURN_RIGHT
2.960,0.0000,0.4360,0.4280,49.54,29.62,150,91,TURN_RIGHT
2.970,0.0120,0.4320,0.4320,47.95,19.22,149,109,TURN_RIGHT
2.980,0.0000,0.4440,0.4240,48.85,34.73,150,81,TURN_RIGHT
2.990,0.0240,0.4360,0.4040,43.98,-2.81,116,149,TURN_RIGHT
3.000,0.0000,0.4360,0.4200,49.07,59.94,150,36,TURN_RIGHT
3.010,0.0080,0.4360,0.4200,47.69,20.33,150,107,TURN_RIGHT
3.020,0.0000,0.4280,0.3880,47.55,27.71,150,94,TURN_RIGHT
3.030,0.0200,0.4360,0.4200,45.66,16.08,144,115,TURN_RIGHT
3.040,0.0000,0.4640,0.4040,46.54,33.22,150,84,TURN_RIGHT
3.050,0.0120,0.4560,0.4360,46.90,30.29,150,89,TURN_RIGHT
3.060,0.0040,0.4360,0.4120,47.89,34.64,150,82,TURN_RIGHT
3.070,0.0000,0.4560,0.4120,47.47,25.95,150,97,TURN_RIGHT
3.080,0.0000,0.4400,0.4080,48.11,32.75,150,85,TURN_RIGHT
3.090,0.0040,0.4280,0.4000,47.60,25.46,150,98,TURN_RIGHT
3.100,0.0080,0.4560,0.3840,44.34,7.06,131,131,TURN_RIGHT
3.110,0.0240,0.4800,0.3880,40.81,3.29,125,138,TURN_RIGHT
3.120,0.0000,0.4440,0.3760,45.85,57.79,150,40,TURN_RIGHT
3.130,0.0000,0.4680,0.3880,45.33,24.04,150,101,TURN_RIGHT
3.140,0.0000,0.4640,0.3680,44.23,19.96,150,108,TURN_RIGHT
3.150,0.0040,0.4600,0.3680,43.75,23.37,150,102,TURN_RIGHT
3.160,0.0000,0.5040,0.3720,42.47,17.77,147,112,TURN_RIGHT
3.170,0.0200,0.4880,0.3480,38.32,-1.90,117,147,TURN_RIGHT
3.180,0.0000,0.4640,0.3280,41.41,43.43,150,66,TURN_RIGHT
3.190,0.0000,0.4880,0.3600,42.45,31.70,150,87,TURN_RIGHT
3.200,0.0000,0.4840,0.3360,40.98,15.72,144,116,TURN_RIGHT
3.210,0.0080,0.5040,0.3200,37.50,1.65,122,141,TURN_RIGHT
3.220,0.0120,0.5000,0.3280,37.62,23.29,150,102,TURN_RIGHT
3.230,0.0080,0.5000,0.3240,37.98,24.96,150,99,TURN_RIGHT
3.240,0.0000,0.5360,0.3280,37.96,22.67,150,103,TURN_RIGHT
3.250,0.0120,0.5200,0.2960,34.30,-1.40,118,147,TURN_RIGHT
3.260,0.0040,0.5280,0.3200,37.09,38.99,150,74,TURN_RIGHT
3.270,0.0000,0.5440,0.3040,35.85,14.07,141,119,TURN_RIGHT
3.280,0.0000,0.5200,0.3080,37.20,30.41,150,89,TURN_RIGHT
3.290,0.0000,0.5360,0.2920,35.27,9.57,134,127,TURN_RIGHT
3.300,0.0080,0.5480,0.2680,31.55,-3.34,115,150,TURN_RIGHT
3.310,0.0160,0.5520,0.3000,32.72,26.62,150,96,TURN_RIGHT
3.320,0.0200,0.5720,0.2760,29.49,-1.66,118,147,TURN_RIGHT
3.330,0.0000,0.5480,0.2520,31.50,30.94,150,88,TURN_RIGHT
3.340,0.0000,0.5800,0.2800,32.56,25.88,150,97,TURN_RIGHT
3.350,0.0000,0.5640,0.2400,29.85,1.67,122,141,TURN_RIGHT
3.360,0.0120,0.5760,0.2720,30.23,20.43,150,107,TURN_RIGHT
3.370,0.0000,0.5920,0.2720,31.48,26.38,150,97,TURN_RIGHT
3.380,0.0080,0.5880,0.2280,26.70,-12.68,101,150,TURN_RIGHT
