# RoboMaster EP 蓝线巡航 · KP_LINE=280 KI_LINE=0 KD_LINE=30 · LOOP_HZ=30
t,linePos,error,u,v,state,markerId
6.167,0.4803,-0.0197,-3.56,0.242,FOLLOW,
6.200,0.4720,-0.0280,-15.37,0.239,FOLLOW,
6.233,0.4773,-0.0227,-1.53,0.241,FOLLOW,
6.267,0.4695,-0.0305,-15.57,0.238,FOLLOW,
6.300,0.4703,-0.0297,-7.65,0.238,FOLLOW,
6.333,0.4818,-0.0182,5.31,0.243,FOLLOW,
6.367,0.4740,-0.0260,-14.27,0.240,FOLLOW,
6.400,0.4667,-0.0333,-15.92,0.237,FOLLOW,
6.433,0.4631,-0.0369,-13.61,0.235,FOLLOW,
6.467,0.4764,-0.0236,5.37,0.241,FOLLOW,
6.500,0.4690,-0.0310,-15.32,0.238,FOLLOW,
6.533,0.4787,-0.0213,2.74,0.241,FOLLOW,
6.567,0.4726,-0.0274,-13.17,0.239,FOLLOW,
6.600,0.4703,-0.0297,-10.37,0.238,FOLLOW,
6.633,0.4605,-0.0395,-19.94,0.234,FOLLOW,
6.667,0.4668,-0.0332,-3.54,0.237,FOLLOW,
6.700,0.4677,-0.0323,-8.32,0.237,FOLLOW,
6.733,0.4703,-0.0297,-5.89,0.238,FOLLOW,
6.767,0.4705,-0.0295,-8.14,0.238,FOLLOW,
6.800,0.4681,-0.0319,-11.07,0.237,FOLLOW,
6.833,0.4719,-0.0281,-4.41,0.239,FOLLOW,
6.867,0.4706,-0.0294,-9.39,0.238,FOLLOW,
6.900,0.4671,-0.0329,-12.36,0.237,FOLLOW,
6.933,0.4636,-0.0364,-13.39,0.235,FOLLOW,
6.967,0.4689,-0.0311,-3.98,0.238,FOLLOW,
7.000,0.4589,-0.0411,-20.41,0.234,FOLLOW,
7.033,0.4663,-0.0337,-2.86,0.237,FOLLOW,
7.067,0.4717,-0.0283,-3.02,0.239,FOLLOW,
7.100,0.4648,-0.0352,-16.13,0.236,FOLLOW,
7.133,0.4693,-0.0307,-4.53,0.238,FOLLOW,
7.167,0.4678,-0.0322,-10.32,0.237,FOLLOW,
7.200,0.4718,-0.0282,-4.34,0.239,FOLLOW,
7.233,0.4802,-0.0198,2.04,0.242,FOLLOW,
7.267,0.4732,-0.0268,-13.81,0.239,FOLLOW,
7.300,0.4707,-0.0293,-10.51,0.238,FOLLOW,
7.333,0.4725,-0.0275,-6.08,0.239,FOLLOW,
7.367,0.4681,-0.0319,-12.87,0.237,FOLLOW,
7.400,0.4694,-0.0306,-7.37,0.238,FOLLOW,
7.433,0.4621,-0.0379,-17.15,0.235,FOLLOW,
7.467,0.4653,-0.0347,-6.90,0.236,FOLLOW,
7.500,0.4556,-0.0444,-21.19,0.232,FOLLOW,
7.533,0.4593,-0.0407,-8.00,0.234,FOLLOW,
7.567,0.4627,-0.0373,-7.40,0.235,FOLLOW,
7.600,0.4713,-0.0287,-0.28,0.239,FOLLOW,
7.633,0.4688,-0.0312,-11.05,0.238,FOLLOW,
7.667,0.4630,-0.0370,-15.51,0.235,FOLLOW,
7.700,0.4621,-0.0379,-11.48,0.235,FOLLOW,
7.733,0.4618,-0.0382,-10.89,0.235,FOLLOW,
7.767,0.4634,-0.0366,-8.81,0.235,FOLLOW,
7.800,0.4647,-0.0353,-8.72,0.236,FOLLOW,
7.833,0.4652,-0.0348,-9.33,0.236,FOLLOW,
7.867,0.4615,-0.0385,-14.04,0.235,FOLLOW,
7.900,0.4685,-0.0315,-2.57,0.237,FOLLOW,
7.933,0.4665,-0.0335,-11.22,0.237,FOLLOW,
7.967,0.4723,-0.0277,-2.50,0.239,FOLLOW,
8.000,0.4659,-0.0341,-15.35,0.236,FOLLOW,
8.033,0.4584,-0.0416,-18.31,0.233,FOLLOW,
8.067,0.4539,-0.0461,-17.03,0.232,FOLLOW,
8.100,0.4580,-0.0420,-8.10,0.233,FOLLOW,
8.133,0.4598,-0.0402,-9.55,0.234,FOLLOW,
8.167,0.4627,-0.0373,-7.90,0.235,FOLLOW,
8.200,0.4593,-0.0407,-14.39,0.234,FOLLOW,
8.233,0.4575,-0.0425,-13.52,0.233,FOLLOW,
8.267,0.4642,-0.0358,-4.05,0.236,FOLLOW,
8.300,0.4606,-0.0394,-14.22,0.234,FOLLOW,
8.333,0.4646,-0.0354,-6.33,0.236,FOLLOW,
8.367,0.4617,-0.0383,-13.36,0.235,FOLLOW,
8.400,0.4647,-0.0353,-7.19,0.236,FOLLOW,
8.433,0.4492,-0.0508,-28.13,0.230,FOLLOW,
8.467,0.4602,-0.0398,-1.31,0.234,FOLLOW,
8.500,0.4607,-0.0393,-10.56,0.234,FOLLOW,
8.533,0.4636,-0.0364,-7.52,0.235,FOLLOW,
8.567,0.4552,-0.0448,-20.10,0.232,FOLLOW,
8.600,0.4560,-0.0440,-11.63,0.232,FOLLOW,
8.633,0.4597,-0.0403,-7.96,0.234,FOLLOW,
8.667,0.4637,-0.0363,-6.51,0.235,FOLLOW,
8.700,0.4552,-0.0448,-20.25,0.232,FOLLOW,
8.733,0.4635,-0.0365,-2.69,0.235,FOLLOW,
8.767,0.4584,-0.0416,-16.30,0.233,FOLLOW,
8.800,0.4563,-0.0437,-14.08,0.233,FOLLOW,
8.833,0.4542,-0.0458,-14.68,0.232,FOLLOW,
8.867,0.4619,-0.0381,-3.81,0.235,FOLLOW,
8.900,0.4577,-0.0423,-15.61,0.233,FOLLOW,
8.933,0.4565,-0.0435,-13.30,0.233,FOLLOW,
8.967,0.4538,-0.0462,-15.33,0.232,FOLLOW,
9.000,0.4466,-0.0534,-21.41,0.229,FOLLOW,
9.033,0.4499,-0.0501,-11.09,0.230,FOLLOW,
9.067,0.4452,-0.0548,-19.54,0.228,FOLLOW,
9.100,0.4492,-0.0508,-10.66,0.230,FOLLOW,
9.133,0.4456,-0.0544,-18.44,0.228,FOLLOW,
9.167,0.4468,-0.0532,-13.81,0.229,FOLLOW,
9.200,0.4418,-0.0582,-20.82,0.227,FOLLOW,
9.233,0.4408,-0.0592,-17.41,0.226,FOLLOW,
9.267,0.4398,-0.0602,-17.80,0.226,FOLLOW,
9.300,0.4381,-0.0619,-18.91,0.225,FOLLOW,
9.333,0.4315,-0.0685,-25.07,0.223,FOLLOW,
9.367,0.4285,-0.0715,-22.74,0.221,FOLLOW,
9.400,0.4337,-0.0663,-13.84,0.223,FOLLOW,
9.433,0.4409,-0.0591,-10.04,0.226,FOLLOW,
9.467,0.4441,-0.0559,-12.81,0.228,FOLLOW,
9.500,0.4369,-0.0631,-24.18,0.225,FOLLOW,
9.533,0.4397,-0.0603,-14.30,0.226,FOLLOW,
9.567,0.4426,-0.0574,-13.44,0.227,FOLLOW,
9.600,0.4399,-0.0601,-19.27,0.226,FOLLOW,
9.633,0.4340,-0.0660,-23.79,0.224,FOLLOW,
9.667,0.4304,-0.0696,-22.71,0.222,FOLLOW,
9.700,0.4425,-0.0575,-5.29,0.227,FOLLOW,
9.733,0.4377,-0.0623,-21.78,0.225,FOLLOW,
9.767,0.4389,-0.0611,-15.95,0.226,FOLLOW,
9.800,0.4293,-0.0707,-28.48,0.222,FOLLOW,
9.833,0.4298,-0.0702,-19.15,0.222,FOLLOW,
9.867,0.4245,-0.0755,-25.95,0.220,FOLLOW,
9.900,0.4303,-0.0697,-14.31,0.222,FOLLOW,
9.933,0.4210,-0.0790,-30.50,0.218,FOLLOW,
9.967,0.4278,-0.0722,-14.02,0.221,FOLLOW,
10.000,0.4215,-0.0785,-27.67,0.219,FOLLOW,
10.033,0.4247,-0.0753,-18.27,0.220,FOLLOW,
10.067,0.4177,-0.0823,-29.34,0.217,FOLLOW,
10.100,0.4162,-0.0838,-24.78,0.216,FOLLOW,
10.133,0.4080,-0.0920,-33.10,0.213,FOLLOW,
10.167,0.4122,-0.0878,-20.89,0.215,FOLLOW,
10.200,0.4111,-0.0889,-25.90,0.214,FOLLOW,
10.233,0.4131,-0.0869,-22.53,0.215,FOLLOW,
10.267,0.4066,-0.0934,-32.02,0.213,FOLLOW,
10.300,0.4148,-0.0852,-16.41,0.216,FOLLOW,
10.333,0.4094,-0.0906,-30.26,0.214,FOLLOW,
10.367,0.4156,-0.0844,-18.07,0.216,FOLLOW,
10.400,0.4037,-0.0963,-37.60,0.211,FOLLOW,
10.433,0.4104,-0.0896,-19.14,0.214,FOLLOW,
10.467,0.4070,-0.0930,-29.12,0.213,FOLLOW,
10.500,0.4064,-0.0936,-26.69,0.213,FOLLOW,
10.533,0.4006,-0.0994,-33.04,0.210,FOLLOW,
10.567,0.4063,-0.0937,-21.14,0.213,FOLLOW,
10.600,0.3984,-0.1016,-35.51,0.209,FOLLOW,
10.633,0.3985,-0.1015,-28.30,0.209,FOLLOW,
10.667,0.3928,-0.1072,-35.20,0.207,FOLLOW,
10.700,0.4027,-0.0973,-18.30,0.211,FOLLOW,
10.733,0.4016,-0.0984,-28.60,0.211,FOLLOW,
10.767,0.3908,-0.1092,-40.28,0.206,FOLLOW,
10.800,0.3988,-0.1012,-21.09,0.210,FOLLOW,
10.833,0.3948,-0.1052,-33.03,0.208,FOLLOW,
10.867,0.3989,-0.1011,-24.65,0.210,FOLLOW,
10.900,0.3883,-0.1117,-40.82,0.205,FOLLOW,
10.933,0.3947,-0.1053,-23.70,0.208,FOLLOW,
10.967,0.3899,-0.1101,-35.18,0.206,FOLLOW,
11.000,0.4021,-0.0979,-16.47,0.211,FOLLOW,
11.033,0.3920,-0.1080,-39.34,0.207,ALIGN,12
11.067,0.3903,-0.1097,-32.17,0.206,ALIGN,12
11.100,0.4033,-0.0967,-15.38,0.211,ALIGN,12
11.133,0.3948,-0.1052,-37.09,0.208,ALIGN,12
11.167,0.3924,-0.1076,-32.31,0.207,ALIGN,12
11.200,0.3872,-0.1128,-36.27,0.205,ALIGN,12
11.233,0.3945,-0.1055,-22.99,0.208,ALIGN,12
11.267,0.3819,-0.1181,-44.35,0.203,ALIGN,12
11.300,0.3914,-0.1086,-21.89,0.207,ALIGN,12
11.333,0.3821,-0.1179,-41.41,0.203,ALIGN,12
11.367,0.3914,-0.1086,-21.97,0.207,ALIGN,12
11.400,0.3886,-0.1114,-33.79,0.205,ALIGN,12
11.433,0.3919,-0.1081,-27.25,0.207,ALIGN,12
11.467,0.3821,-0.1179,-41.83,0.203,ALIGN,12
11.500,0.3885,-0.1115,-25.43,0.205,ALIGN,12
11.533,0.3888,-0.1112,-30.86,0.206,ALIGN,12
11.567,0.3950,-0.1050,-23.83,0.208,ALIGN,12
11.600,0.3926,-0.1074,-32.30,0.207,ALIGN,12
11.633,0.3921,-0.1079,-30.58,0.207,ALIGN,12
11.667,0.3914,-0.1086,-31.08,0.207,ALIGN,12
11.700,0.3953,-0.1047,-25.80,0.208,ALIGN,12
11.733,0.3944,-0.1056,-30.34,0.208,ALIGN,12
11.767,0.3936,-0.1064,-30.58,0.207,ALIGN,12
11.800,0.4028,-0.0972,-18.96,0.211,ALIGN,12
11.833,0.3937,-0.1063,-37.88,0.207,ALIGN,12
11.867,0.3968,-0.1032,-26.18,0.209,ALIGN,12
11.900,0.3997,-0.1003,-25.38,0.210,ALIGN,12
11.933,0.4023,-0.0977,-25.07,0.211,ALIGN,12
11.967,0.3935,-0.1065,-37.70,0.207,ALIGN,12
12.000,0.4030,-0.0970,-18.59,0.211,ALIGN,12
12.033,0.3955,-0.1045,-36.07,0.208,ALIGN,12
12.067,0.3998,-0.1002,-24.20,0.210,ALIGN,12
12.100,0.4068,-0.0932,-19.75,0.213,ALIGN,12
12.133,0.4073,-0.0927,-25.52,0.213,ALIGN,12
12.167,0.4043,-0.0957,-29.54,0.212,ALIGN,12
12.200,0.4058,-0.0942,-25.05,0.212,ALIGN,12
12.233,0.4049,-0.0951,-27.38,0.212,ALIGN,12
12.267,0.4024,-0.0976,-29.64,0.211,ALIGN,12
12.300,0.4076,-0.0924,-21.20,0.213,ALIGN,12
12.333,0.4076,-0.0924,-25.87,0.213,ALIGN,12
12.367,0.4051,-0.0949,-28.84,0.212,ALIGN,12
12.400,0.3996,-0.1004,-33.06,0.210,ALIGN,12
12.433,0.4112,-0.0888,-14.36,0.214,FOLLOW,
12.467,0.4107,-0.0893,-25.45,0.214,FOLLOW,
12.500,0.4126,-0.0874,-22.76,0.215,FOLLOW,
12.533,0.4164,-0.0836,-19.98,0.217,FOLLOW,
12.567,0.4105,-0.0895,-30.44,0.214,FOLLOW,
12.600,0.4102,-0.0898,-25.37,0.214,FOLLOW,
12.633,0.4225,-0.0775,-10.61,0.219,FOLLOW,
12.667,0.4074,-0.0926,-39.49,0.213,FOLLOW,
12.700,0.4117,-0.0883,-20.92,0.215,FOLLOW,
12.733,0.4149,-0.0851,-20.94,0.216,FOLLOW,
12.767,0.4186,-0.0814,-19.39,0.217,FOLLOW,
12.800,0.4119,-0.0881,-30.72,0.215,FOLLOW,
12.833,0.4210,-0.0790,-13.91,0.218,FOLLOW,
12.867,0.4189,-0.0811,-24.57,0.218,FOLLOW,
12.900,0.4184,-0.0816,-23.29,0.217,FOLLOW,
12.933,0.4273,-0.0727,-12.43,0.221,FOLLOW,
12.967,0.4178,-0.0822,-31.54,0.217,FOLLOW,
13.000,0.4205,-0.0795,-19.76,0.218,FOLLOW,
13.033,0.4297,-0.0703,-11.41,0.222,FOLLOW,
13.067,0.4208,-0.0792,-30.27,0.218,FOLLOW,
13.100,0.4157,-0.0843,-28.15,0.216,FOLLOW,
13.133,0.4254,-0.0746,-12.15,0.220,FOLLOW,
13.167,0.4292,-0.0708,-16.43,0.222,FOLLOW,
13.200,0.4270,-0.0730,-22.39,0.221,FOLLOW,
13.233,0.4271,-0.0729,-20.29,0.221,FOLLOW,
13.267,0.4381,-0.0619,-7.42,0.225,FOLLOW,
13.300,0.4363,-0.0637,-19.55,0.225,FOLLOW,
13.333,0.4331,-0.0669,-21.61,0.223,FOLLOW,
13.367,0.4425,-0.0575,-7.59,0.227,FOLLOW,
13.400,0.4368,-0.0632,-22.79,0.225,FOLLOW,
13.433,0.4363,-0.0637,-18.28,0.225,FOLLOW,
13.467,0.4347,-0.0653,-19.81,0.224,FOLLOW,
13.500,0.4396,-0.0604,-12.41,0.226,FOLLOW,
13.533,0.4458,-0.0542,-9.66,0.228,FOLLOW,
13.567,0.4438,-0.0562,-17.46,0.228,FOLLOW,
13.600,0.4436,-0.0564,-16.05,0.227,FOLLOW,
13.633,0.4376,-0.0624,-22.90,0.225,FOLLOW,
13.667,0.4453,-0.0547,-8.32,0.228,FOLLOW,
13.700,0.4353,-0.0647,-27.16,0.224,FOLLOW,
13.733,0.4479,-0.0521,-3.28,0.229,FOLLOW,
13.767,0.4436,-0.0564,-19.57,0.227,FOLLOW,
13.800,0.4409,-0.0591,-19.07,0.226,FOLLOW,
13.833,0.4363,-0.0637,-21.94,0.225,FOLLOW,
13.867,0.4466,-0.0534,-5.72,0.229,FOLLOW,
13.900,0.4396,-0.0604,-23.23,0.226,FOLLOW,
13.933,0.4439,-0.0561,-11.85,0.228,FOLLOW,
13.967,0.4506,-0.0494,-7.74,0.230,FOLLOW,
14.000,0.4413,-0.0587,-24.77,0.227,FOLLOW,
14.033,0.4449,-0.0551,-12.19,0.228,FOLLOW,
14.067,0.4402,-0.0598,-21.04,0.226,FOLLOW,
14.100,0.4526,-0.0474,-2.11,0.231,FOLLOW,
14.133,0.4493,-0.0507,-17.14,0.230,FOLLOW,
14.167,0.4517,-0.0483,-11.37,0.231,FOLLOW,
14.200,0.4487,-0.0513,-17.02,0.229,FOLLOW,
14.233,0.4518,-0.0482,-10.68,0.231,FOLLOW,
14.267,0.4581,-0.0419,-6.06,0.233,FOLLOW,
14.300,0.4538,-0.0462,-16.79,0.232,FOLLOW,
14.333,0.4563,-0.0437,-9.97,0.233,FOLLOW,
14.367,0.4465,-0.0535,-23.79,0.229,FOLLOW,
14.400,0.4566,-0.0434,-3.07,0.233,FOLLOW,
14.433,0.4555,-0.0445,-13.43,0.232,FOLLOW,
